#k 	 Pdata 	 err 	 Pmodel 	 Pnowiggle
2.563700e-02 3.996830e+04 1.905929e+03 4.146936e+04 4.050737e+04
3.546700e-02 3.228826e+04 1.042027e+03 3.169454e+04 3.343008e+04
4.535800e-02 2.503511e+04 6.606966e+02 2.522051e+04 2.691460e+04
5.529600e-02 2.234848e+04 4.791010e+02 2.186641e+04 2.204305e+04
6.523900e-02 1.966944e+04 3.566662e+02 1.935809e+04 1.843913e+04
7.519300e-02 1.617127e+04 2.693702e+02 1.636695e+04 1.558795e+04
8.517700e-02 1.306547e+04 2.146253e+02 1.327763e+04 1.330472e+04
9.517700e-02 1.114617e+04 1.651124e+02 1.096408e+04 1.149205e+04
1.051620e-01 9.523866e+03 1.343026e+02 9.640775e+03 1.001387e+04
1.151400e-01 8.820389e+03 1.154324e+02 8.859165e+03 8.795418e+03
1.251320e-01 8.054249e+03 9.424579e+01 8.065624e+03 7.775492e+03
1.351140e-01 7.104939e+03 8.724854e+01 7.109743e+03 6.928301e+03
1.451050e-01 6.238821e+03 7.419250e+01 6.163144e+03 6.208312e+03
1.551050e-01 5.406827e+03 6.466602e+01 5.438875e+03 5.590658e+03
1.650970e-01 4.908116e+03 5.804587e+01 4.973230e+03 5.065538e+03
1.750960e-01 4.673061e+03 5.337509e+01 4.634914e+03 4.612355e+03
1.850910e-01 4.309350e+03 4.815227e+01 4.299346e+03 4.221847e+03
1.950860e-01 3.926560e+03 4.364512e+01 3.928460e+03 3.879249e+03

#B	A1	A2	A3	BSGC	ASGC1	ASGC2	ASGC3	Sigmanl_para 	 Sigmanl_perp 	 beta 	 alpha_para 	 alpha_perp 	 chi2	 Npoints-dof
#5.272073e+00	1.172953e+02	6.133080e+02	-1.513218e+02	3.825352e+00	3.659085e+03	-1.444064e+03	3.112234e+02	4.300000e+00	 4.300000e+00	 7.072011e-02	 8.961032e-01	 9.704483e-01	 4.486338e+01	 68-17
