#k 	 Pdata 	 err 	 Pmodel 	 Pnowiggle
2.564600e-02 4.741761e+04 3.146132e+03 4.780594e+04 4.655608e+04
3.546900e-02 3.428358e+04 1.798466e+03 3.578737e+04 3.688528e+04
4.536800e-02 2.933781e+04 1.130281e+03 2.777354e+04 2.929739e+04
5.531400e-02 2.449395e+04 7.895195e+02 2.325650e+04 2.381666e+04
6.525800e-02 2.039861e+04 5.746752e+02 2.035904e+04 1.985122e+04
7.520900e-02 1.761513e+04 4.555268e+02 1.764195e+04 1.685785e+04
8.517500e-02 1.490797e+04 3.439291e+02 1.476078e+04 1.444875e+04
9.515700e-02 1.214537e+04 2.678954e+02 1.228154e+04 1.254611e+04
1.051620e-01 1.041159e+04 2.112183e+02 1.056516e+04 1.099279e+04
1.151480e-01 9.369402e+03 1.800903e+02 9.527838e+03 9.709648e+03
1.251460e-01 8.922817e+03 1.559694e+02 8.754659e+03 8.627585e+03
1.351460e-01 7.841412e+03 1.344518e+02 7.932505e+03 7.708472e+03
1.451320e-01 7.058115e+03 1.115548e+02 7.038437e+03 6.929442e+03
1.551140e-01 6.224138e+03 9.833871e+01 6.203786e+03 6.251454e+03
1.651020e-01 5.478345e+03 8.789074e+01 5.551694e+03 5.660684e+03
1.751050e-01 5.155958e+03 7.739142e+01 5.081522e+03 5.146712e+03
1.850970e-01 4.832463e+03 7.086372e+01 4.707050e+03 4.697337e+03
1.950850e-01 4.346185e+03 6.339446e+01 4.352998e+03 4.304804e+03

#B	A1	A2	A3	BSGC	ASGC1	ASGC2	ASGC3	Sigmanl_para 	 Sigmanl_perp 	 beta 	 alpha_para 	 alpha_perp 	 chi2	 Npoints-dof
#4.033137e+00	9.696182e+03	-4.310849e+03	3.771786e+02	3.061322e+00	1.211239e+04	-5.341551e+03	6.656453e+02	8.300000e+00	 5.800000e+00	 6.797894e-01	 9.583632e-01	 1.028681e+00	 6.129659e+01	 68-17
