#k 	 Pdata 	 err 	 Pmodel 	 Pnowiggle
4.535800e-02 -2.772561e+03 1.389354e+03 -4.268950e+03 -4.538389e+03
5.529600e-02 -3.905046e+03 1.021824e+03 -3.149601e+03 -3.615194e+03
6.523900e-02 -2.560264e+03 7.435086e+02 -2.759725e+03 -2.927225e+03
7.519300e-02 -1.963465e+03 5.752496e+02 -2.722139e+03 -2.461781e+03
8.517700e-02 -2.391363e+03 4.423735e+02 -2.393959e+03 -2.036818e+03
9.517700e-02 -2.013043e+03 3.571042e+02 -1.797235e+03 -1.720683e+03
1.051620e-01 -1.444201e+03 2.864621e+02 -1.234108e+03 -1.457974e+03
1.151400e-01 -1.384883e+03 2.379100e+02 -1.010167e+03 -1.249842e+03
1.251320e-01 -9.507706e+02 2.072905e+02 -1.048592e+03 -1.070763e+03
1.351140e-01 -9.720008e+02 1.847082e+02 -1.081905e+03 -9.205869e+02
1.451050e-01 -1.234277e+03 1.576932e+02 -9.534463e+02 -8.057733e+02
1.551050e-01 -6.024541e+02 1.373050e+02 -7.019321e+02 -6.975429e+02
1.650970e-01 -4.174258e+02 1.152264e+02 -5.091685e+02 -6.121563e+02
1.750960e-01 -3.393621e+02 1.098447e+02 -4.451052e+02 -5.347897e+02
1.850910e-01 -4.796133e+02 9.784459e+01 -4.718443e+02 -4.739464e+02
1.950860e-01 -5.366783e+02 9.079194e+01 -4.826404e+02 -4.204020e+02

#B	A1	A2	A3	BSGC	ASGC1	ASGC2	ASGC3	Sigmanl_para 	 Sigmanl_perp 	 beta 	 alpha_para 	 alpha_perp 	 chi2	 Npoints-dof
#5.272073e+00	-3.014527e+03	1.402381e+03	-2.295564e+02	3.825352e+00	4.718194e+03	-8.776557e+02	-8.883672e+01	4.300000e+00	 4.300000e+00	 7.072011e-02	 8.961032e-01	 9.704483e-01	 4.486338e+01	 68-17
