#k 	 Pdata 	 err 	 Pmodel 	 Pnowiggle
4.536800e-02 -4.541687e+03 2.368460e+03 -4.603742e+03 -4.616380e+03
5.531400e-02 -3.811246e+03 1.678381e+03 -3.609896e+03 -3.894242e+03
6.525800e-02 -2.531601e+03 1.303364e+03 -2.951861e+03 -3.242190e+03
7.520900e-02 -1.916542e+03 1.002909e+03 -2.699341e+03 -2.735527e+03
8.517500e-02 -2.595437e+03 7.208199e+02 -2.515699e+03 -2.294217e+03
9.515700e-02 -1.689300e+03 5.675477e+02 -2.152715e+03 -1.912567e+03
1.051620e-01 -1.904914e+03 4.437997e+02 -1.649581e+03 -1.612751e+03
1.151480e-01 -8.994047e+02 3.832416e+02 -1.212476e+03 -1.370322e+03
1.251460e-01 -1.725539e+03 3.156288e+02 -1.023016e+03 -1.189226e+03
1.351460e-01 -5.435453e+02 2.805437e+02 -1.017647e+03 -1.043207e+03
1.451320e-01 -1.101484e+03 2.448660e+02 -1.034603e+03 -9.364483e+02
1.551140e-01 -9.480464e+02 2.094551e+02 -9.724104e+02 -8.710778e+02
1.651020e-01 -7.473601e+02 1.810060e+02 -8.369239e+02 -8.189920e+02
1.751050e-01 -7.613600e+02 1.532352e+02 -7.356316e+02 -7.895797e+02
1.850970e-01 -6.663664e+02 1.451350e+02 -7.097589e+02 -7.675087e+02
1.950850e-01 -7.950414e+02 1.365361e+02 -7.444480e+02 -7.573562e+02

#B	A1	A2	A3	BSGC	ASGC1	ASGC2	ASGC3	Sigmanl_para 	 Sigmanl_perp 	 beta 	 alpha_para 	 alpha_perp 	 chi2	 Npoints-dof
#4.033137e+00	1.940569e+04	-8.187423e+03	1.572548e+02	3.061322e+00	4.189277e+02	-9.166904e+02	-4.175875e+02	8.300000e+00	 5.800000e+00	 6.797894e-01	 9.583632e-01	 1.028681e+00	 6.129659e+01	 68-17
