#k 	 Pdata 	 err 	 Pmodel
2.563700e-02 5.193060e+04 2.545024e+03 5.341695e+04
3.546700e-02 4.188905e+04 1.402254e+03 4.185208e+04
4.535800e-02 3.310466e+04 8.959835e+02 3.357975e+04
5.529600e-02 2.923444e+04 6.492799e+02 2.885542e+04
6.523900e-02 2.614692e+04 4.743030e+02 2.542618e+04
7.519300e-02 2.161559e+04 3.536445e+02 2.173744e+04
8.517700e-02 1.788714e+04 2.808882e+02 1.801983e+04
9.517700e-02 1.537858e+04 2.212556e+02 1.506391e+04
1.051620e-01 1.304915e+04 1.732168e+02 1.314488e+04
1.151400e-01 1.196364e+04 1.462162e+02 1.192991e+04
1.251320e-01 1.084214e+04 1.256686e+02 1.085414e+04
1.351140e-01 9.648981e+03 1.154657e+02 9.725593e+03
1.451050e-01 8.691859e+03 9.419011e+01 8.624186e+03
1.551050e-01 7.575931e+03 8.525861e+01 7.687580e+03
1.650970e-01 6.934764e+03 7.613823e+01 6.992456e+03
1.750960e-01 6.408091e+03 6.951616e+01 6.450252e+03
1.850910e-01 6.029446e+03 6.273365e+01 5.957708e+03
1.950860e-01 5.533171e+03 5.500268e+01 5.493519e+03
#apara 	 aperp 	 fs8 	b1s8_NGC 	 b2s8_NGC 	 Anoise_NGC	sigmaP_SGC	b1s8_SGC 	 b2s8_SGC 	 Anoise_SGC	sigmaP_SGC	chi2 	 Npoints-Ndof
#0.953093	0.967428	0.370229	1.126913	-0.130761	1.012783	3.859890	1.126913	-0.130761	1.012783	3.859890	38.781390 	 68-11
