#k 	 Pdata 	 err 	 Pmodel
2.564600e-02 6.004604e+04 3.941315e+03 5.642425e+04
3.546900e-02 4.546885e+04 2.332223e+03 4.481095e+04
4.536800e-02 3.785212e+04 1.472100e+03 3.626031e+04
5.531400e-02 3.244434e+04 1.019281e+03 3.117955e+04
6.525800e-02 2.732720e+04 7.510858e+02 2.744958e+04
7.520900e-02 2.323824e+04 5.977086e+02 2.355043e+04
8.517500e-02 1.990755e+04 4.420094e+02 1.968127e+04
9.515700e-02 1.657198e+04 3.528053e+02 1.657150e+04
1.051620e-01 1.421746e+04 2.743676e+02 1.449064e+04
1.151480e-01 1.290144e+04 2.399903e+02 1.312580e+04
1.251460e-01 1.180162e+04 1.933166e+02 1.193338e+04
1.351460e-01 1.061344e+04 1.725968e+02 1.071756e+04
1.451320e-01 9.557935e+03 1.416208e+02 9.554404e+03
1.551140e-01 8.524588e+03 1.252944e+02 8.569519e+03
1.651020e-01 7.792369e+03 1.169454e+02 7.833369e+03
1.751050e-01 7.215022e+03 1.025878e+02 7.248016e+03
1.850970e-01 6.794854e+03 8.678640e+01 6.715809e+03
1.950850e-01 6.209053e+03 8.042484e+01 6.216858e+03
#apara 	 aperp 	 fs8 	b1s8_NGC 	 b2s8_NGC 	 Anoise_NGC	sigmaP_SGC	b1s8_SGC 	 b2s8_SGC 	 Anoise_SGC	sigmaP_SGC	chi2 	 Npoints-Ndof
#1.026118	0.933214	0.326320	1.160581	-0.620872	1.557941	5.087686	1.160581	-0.620872	1.557941	5.087686	45.266890 	 68-11
