#k 	 Pdata 	 err 	 Pmodel
4.535800e-02 1.141154e+04 2.088008e+03 1.107693e+04
5.529600e-02 8.326118e+03 1.488664e+03 9.430502e+03
6.523900e-02 8.475544e+03 1.105007e+03 8.057638e+03
7.519300e-02 6.301522e+03 8.147362e+02 6.524620e+03
8.517700e-02 4.894478e+03 6.423518e+02 5.148971e+03
9.517700e-02 3.991312e+03 5.006437e+02 4.189099e+03
1.051620e-01 3.382731e+03 4.015148e+02 3.573920e+03
1.151400e-01 3.068832e+03 3.337855e+02 3.067211e+03
1.251320e-01 2.734129e+03 2.927085e+02 2.585813e+03
1.351140e-01 2.216559e+03 2.445238e+02 2.179931e+03
1.451050e-01 1.995478e+03 2.176334e+02 1.875536e+03
1.551050e-01 1.672605e+03 1.810367e+02 1.648038e+03
1.650970e-01 1.507543e+03 1.599251e+02 1.440385e+03
1.750960e-01 1.266073e+03 1.493945e+02 1.207202e+03
1.850910e-01 1.087851e+03 1.312579e+02 1.016571e+03
1.950860e-01 7.786830e+02 1.213833e+02 8.688660e+02
#apara 	 aperp 	 fs8 	b1s8_NGC 	 b2s8_NGC 	 Anoise_NGC	sigmaP_SGC	b1s8_SGC 	 b2s8_SGC 	 Anoise_SGC	sigmaP_SGC	chi2 	 Npoints-Ndof
#0.953093	0.967428	0.370229	1.126913	-0.130761	1.012783	3.859890	1.126913	-0.130761	1.012783	3.859890	38.781390 	 68-11
