#k 	 Pdata 	 err 	 Pmodel
4.536800e-02 7.082767e+03 3.442054e+03 1.143702e+04
5.531400e-02 9.635766e+03 2.397204e+03 9.279475e+03
6.525800e-02 8.611310e+03 1.848165e+03 8.058691e+03
7.520900e-02 8.096883e+03 1.427121e+03 7.145321e+03
8.517500e-02 5.357623e+03 1.034219e+03 6.006106e+03
9.515700e-02 4.122451e+03 8.162805e+02 4.722409e+03
1.051620e-01 3.419871e+03 6.718356e+02 3.581827e+03
1.151480e-01 2.500220e+03 5.420027e+02 2.839290e+03
1.251460e-01 2.268720e+03 4.535195e+02 2.441790e+03
1.351460e-01 2.588348e+03 3.868590e+02 2.179176e+03
1.451320e-01 2.023816e+03 3.405732e+02 1.895820e+03
1.551140e-01 1.403674e+03 2.970613e+02 1.555000e+03
1.651020e-01 1.333824e+03 2.568253e+02 1.200249e+03
1.751050e-01 9.222543e+02 2.270777e+02 9.385943e+02
1.850970e-01 7.999251e+02 2.048604e+02 7.763309e+02
1.950850e-01 7.156708e+02 1.783345e+02 6.743327e+02
#apara 	 aperp 	 fs8 	b1s8_NGC 	 b2s8_NGC 	 Anoise_NGC	sigmaP_SGC	b1s8_SGC 	 b2s8_SGC 	 Anoise_SGC	sigmaP_SGC	chi2 	 Npoints-Ndof
#1.026118	0.933214	0.326320	1.160581	-0.620872	1.557941	5.087686	1.160581	-0.620872	1.557941	5.087686	45.266890 	 68-11
