#k 	 Pdata 	 err 	 Pmodel 	 Pnowiggle
2.563700e-02 4.088968e+04 1.905929e+03 4.179633e+04 4.030795e+04
3.546700e-02 3.348922e+04 1.042027e+03 3.269906e+04 3.431344e+04
4.535800e-02 2.576722e+04 6.606966e+02 2.601078e+04 2.800639e+04
5.529600e-02 2.330172e+04 4.791010e+02 2.251400e+04 2.309491e+04
6.523900e-02 2.023499e+04 3.566662e+02 2.019743e+04 1.940508e+04
7.519300e-02 1.735284e+04 2.693702e+02 1.752320e+04 1.651781e+04
8.517700e-02 1.421345e+04 2.146253e+02 1.442451e+04 1.414326e+04
9.517700e-02 1.194000e+04 1.651124e+02 1.181617e+04 1.225955e+04
1.051620e-01 1.021077e+04 1.343026e+02 1.017095e+04 1.071716e+04
1.151400e-01 9.221917e+03 1.154324e+02 9.294566e+03 9.445519e+03
1.251320e-01 8.655992e+03 9.424579e+01 8.614764e+03 8.375920e+03
1.351140e-01 7.658819e+03 8.724854e+01 7.777821e+03 7.479420e+03
1.451050e-01 6.879833e+03 7.419250e+01 6.819905e+03 6.726474e+03
1.551050e-01 6.037451e+03 6.466602e+01 5.959327e+03 6.076149e+03
1.650970e-01 5.243564e+03 5.804587e+01 5.358153e+03 5.519856e+03
1.750960e-01 4.960678e+03 5.337509e+01 4.977109e+03 5.040956e+03
1.850910e-01 4.727479e+03 4.815227e+01 4.677148e+03 4.626838e+03
1.950860e-01 4.366496e+03 4.364512e+01 4.354104e+03 4.267561e+03

#B	A1	A2	A3	BSGC	ASGC1	ASGC2	ASGC3	Sigmanl_para 	 Sigmanl_perp 	 beta 	 alpha_para 	 alpha_perp 	 chi2	 Npoints-dof
#5.508419e+00	-7.879237e+02	1.265124e+03	-2.527944e+02	4.286713e+00	4.765643e+03	-1.401426e+03	2.136899e+02	4.300000e+00	 4.300000e+00	 5.502513e-02	 9.501602e-01	 1.002962e+00	 5.962217e+01	 68-17
