#k 	 Pdata 	 err 	 Pmodel 	 Pnowiggle
2.564600e-02 5.009206e+04 3.146132e+03 5.060698e+04 4.890984e+04
3.546900e-02 3.645853e+04 1.798466e+03 3.836822e+04 3.945076e+04
4.536800e-02 3.048579e+04 1.130281e+03 2.975163e+04 3.154302e+04
5.531400e-02 2.624962e+04 7.895195e+02 2.481135e+04 2.566460e+04
6.525800e-02 2.165924e+04 5.746752e+02 2.177378e+04 2.136945e+04
7.520900e-02 1.897090e+04 4.555268e+02 1.904896e+04 1.814099e+04
8.517500e-02 1.590790e+04 3.439291e+02 1.604859e+04 1.552749e+04
9.515700e-02 1.309135e+04 2.678954e+02 1.329488e+04 1.344901e+04
1.051620e-01 1.130074e+04 2.112183e+02 1.128036e+04 1.176441e+04
1.151480e-01 9.864400e+03 1.800903e+02 1.005289e+04 1.037431e+04
1.251460e-01 9.480444e+03 1.559694e+02 9.246927e+03 9.210162e+03
1.351460e-01 8.405032e+03 1.344518e+02 8.464248e+03 8.222085e+03
1.451320e-01 7.640148e+03 1.115548e+02 7.580821e+03 7.389540e+03
1.551140e-01 6.760604e+03 9.833871e+01 6.693570e+03 6.676933e+03
1.651020e-01 5.937813e+03 8.789074e+01 5.949253e+03 6.055226e+03
1.751050e-01 5.440802e+03 7.739142e+01 5.413695e+03 5.520214e+03
1.850970e-01 5.127674e+03 7.086372e+01 5.025043e+03 5.056294e+03
1.950850e-01 4.717002e+03 6.339446e+01 4.692391e+03 4.655160e+03

#B	A1	A2	A3	BSGC	ASGC1	ASGC2	ASGC3	Sigmanl_para 	 Sigmanl_perp 	 beta 	 alpha_para 	 alpha_perp 	 chi2	 Npoints-dof
#4.373736e+00	1.071719e+04	-4.441555e+03	3.615570e+02	4.181319e+00	1.903113e+04	-6.562618e+03	4.867895e+02	8.300000e+00	 5.800000e+00	 5.689120e-01	 9.897999e-01	 1.055686e+00	 4.889674e+01	 68-17
