#k 	 Pdata 	 err 	 Pmodel 	 Pnowiggle
4.535800e-02 -2.523622e+03 1.389354e+03 -3.644458e+03 -3.770695e+03
5.529600e-02 -3.430838e+03 1.021824e+03 -2.648837e+03 -2.984413e+03
6.523900e-02 -2.122948e+03 7.435086e+02 -2.178811e+03 -2.388082e+03
7.519300e-02 -1.147239e+03 5.752496e+02 -2.083455e+03 -1.985011e+03
8.517700e-02 -1.771826e+03 4.423735e+02 -1.900131e+03 -1.630355e+03
9.517700e-02 -1.761875e+03 3.571042e+02 -1.504545e+03 -1.344553e+03
1.051620e-01 -8.219564e+02 2.864621e+02 -1.036913e+03 -1.115088e+03
1.151400e-01 -1.102124e+03 2.379100e+02 -7.286906e+02 -9.257919e+02
1.251320e-01 -6.761483e+02 2.072905e+02 -6.542374e+02 -7.670071e+02
1.351140e-01 -3.481005e+02 1.847082e+02 -6.764625e+02 -6.251022e+02
1.451050e-01 -6.492956e+02 1.576932e+02 -6.416954e+02 -5.109334e+02
1.551050e-01 -6.052344e+02 1.373050e+02 -4.926086e+02 -4.141184e+02
1.650970e-01 -9.168551e+01 1.152264e+02 -2.980863e+02 -3.237761e+02
1.750960e-01 -8.426134e+01 1.098447e+02 -1.680284e+02 -2.490740e+02
1.850910e-01 1.432172e+01 9.784459e+01 -1.230755e+02 -1.784415e+02
1.950860e-01 -2.176597e+02 9.079194e+01 -1.297577e+02 -1.215605e+02

#B	A1	A2	A3	BSGC	ASGC1	ASGC2	ASGC3	Sigmanl_para 	 Sigmanl_perp 	 beta 	 alpha_para 	 alpha_perp 	 chi2	 Npoints-dof
#5.508419e+00	1.413007e+03	5.394084e+02	-1.632404e+02	4.286713e+00	-1.195383e+02	4.685729e+02	-1.522998e+02	4.300000e+00	 4.300000e+00	 5.502513e-02	 9.501602e-01	 1.002962e+00	 5.962217e+01	 68-17
