#k 	 Pdata 	 err 	 Pmodel 	 Pnowiggle
4.536800e-02 -2.607232e+03 2.368460e+03 -1.851522e+03 -1.835113e+03
5.531400e-02 -1.501751e+03 1.678381e+03 -1.362447e+03 -1.636621e+03
6.525800e-02 -1.700614e+03 1.303364e+03 -1.050121e+03 -1.366522e+03
7.520900e-02 3.910509e+02 1.002909e+03 -1.045477e+03 -1.131751e+03
8.517500e-02 -1.238746e+03 7.208199e+02 -1.122394e+03 -9.313620e+02
9.515700e-02 -6.083582e+02 5.675477e+02 -9.932337e+02 -7.301871e+02
1.051620e-01 -1.055047e+03 4.437997e+02 -6.803262e+02 -5.858787e+02
1.151480e-01 -1.739119e+02 3.832416e+02 -3.492031e+02 -4.712944e+02
1.251460e-01 -6.377570e+02 3.156288e+02 -2.152264e+02 -4.013352e+02
1.351460e-01 -1.734598e+02 2.805437e+02 -2.820510e+02 -3.587719e+02
1.451320e-01 -1.963385e+02 2.448660e+02 -4.011324e+02 -3.334115e+02
1.551140e-01 -6.821113e+02 2.094551e+02 -4.601653e+02 -3.444278e+02
1.651020e-01 -3.291040e+02 1.810060e+02 -4.232119e+02 -3.676489e+02
1.751050e-01 -3.056243e+02 1.532352e+02 -3.687444e+02 -3.997690e+02
1.850970e-01 -3.937667e+02 1.451350e+02 -3.791470e+02 -4.450683e+02
1.950850e-01 -4.807020e+02 1.365361e+02 -4.504929e+02 -4.883044e+02

#B	A1	A2	A3	BSGC	ASGC1	ASGC2	ASGC3	Sigmanl_para 	 Sigmanl_perp 	 beta 	 alpha_para 	 alpha_perp 	 chi2	 Npoints-dof
#4.373736e+00	1.807208e+04	-8.111230e+03	3.104107e+02	4.181319e+00	-1.067885e+04	1.059202e+03	-3.913669e+02	8.300000e+00	 5.800000e+00	 5.689120e-01	 9.897999e-01	 1.055686e+00	 4.889674e+01	 68-17
