#k 	 Pdata 	 err 	 Pmodel
2.563700e-02 5.460073e+04 2.545024e+03 5.605345e+04
3.546700e-02 4.455864e+04 1.402254e+03 4.457868e+04
4.535800e-02 3.500519e+04 8.959835e+02 3.573569e+04
5.529600e-02 3.098498e+04 6.492799e+02 3.053176e+04
6.523900e-02 2.743913e+04 4.743030e+02 2.702197e+04
7.519300e-02 2.340904e+04 3.536445e+02 2.348243e+04
8.517700e-02 1.952747e+04 2.808882e+02 1.973456e+04
9.517700e-02 1.669603e+04 2.212556e+02 1.648197e+04
1.051620e-01 1.428211e+04 1.732168e+02 1.420162e+04
1.151400e-01 1.260158e+04 1.462162e+02 1.276622e+04
1.251320e-01 1.179440e+04 1.256686e+02 1.166528e+04
1.351140e-01 1.047287e+04 1.154657e+02 1.057001e+04
1.451050e-01 9.422877e+03 9.419011e+01 9.450460e+03
1.551050e-01 8.458855e+03 8.525861e+01 8.411106e+03
1.650970e-01 7.463637e+03 7.613823e+01 7.597593e+03
1.750960e-01 6.883258e+03 6.951616e+01 6.982312e+03
1.850910e-01 6.479879e+03 6.273365e+01 6.457192e+03
1.950860e-01 6.058502e+03 5.500268e+01 5.988920e+03
#apara 	 aperp 	 fs8 	b1s8_NGC 	 b2s8_NGC 	 Anoise_NGC	sigmaP_SGC	b1s8_SGC 	 b2s8_SGC 	 Anoise_SGC	sigmaP_SGC	chi2 	 Npoints-Ndof
#1.025831	0.988277	0.433613	1.201632	-0.424062	1.211530	4.039220	1.201632	-0.424062	1.211530	4.039220	57.812050 	 68-11
