#k 	 Pdata 	 err 	 Pmodel
2.564600e-02 6.370059e+04 3.941315e+03 5.942738e+04
3.546900e-02 4.830260e+04 2.332223e+03 4.751712e+04
4.536800e-02 3.952436e+04 1.472100e+03 3.841014e+04
5.531400e-02 3.453388e+04 1.019281e+03 3.291894e+04
6.525800e-02 2.926566e+04 7.510858e+02 2.904117e+04
7.520900e-02 2.479937e+04 5.977086e+02 2.511979e+04
8.517500e-02 2.144316e+04 4.420094e+02 2.112833e+04
9.515700e-02 1.785024e+04 3.528053e+02 1.778004e+04
1.051620e-01 1.542313e+04 2.743676e+02 1.544893e+04
1.151480e-01 1.371707e+04 2.399903e+02 1.393414e+04
1.251460e-01 1.251205e+04 1.933166e+02 1.269814e+04
1.351460e-01 1.145609e+04 1.725968e+02 1.146865e+04
1.451320e-01 1.022637e+04 1.416208e+02 1.026590e+04
1.551140e-01 9.328629e+03 1.252944e+02 9.204684e+03
1.651020e-01 8.373058e+03 1.169454e+02 8.386280e+03
1.751050e-01 7.681330e+03 1.025878e+02 7.749477e+03
1.850970e-01 7.255243e+03 8.678640e+01 7.187865e+03
1.950850e-01 6.683647e+03 8.042484e+01 6.674151e+03
#apara 	 aperp 	 fs8 	b1s8_NGC 	 b2s8_NGC 	 Anoise_NGC	sigmaP_SGC	b1s8_SGC 	 b2s8_SGC 	 Anoise_SGC	sigmaP_SGC	chi2 	 Npoints-Ndof
#1.049934	0.953622	0.443161	1.198935	-0.414314	1.540286	5.042822	1.198935	-0.414314	1.540286	5.042822	46.524370 	 68-11
