#k 	 Pdata 	 err 	 Pmodel
4.535800e-02 1.390160e+04 2.088008e+03 1.384878e+04
5.529600e-02 1.056925e+04 1.488664e+03 1.155254e+04
6.523900e-02 1.086943e+04 1.105007e+03 1.006694e+04
7.519300e-02 8.865377e+03 8.147362e+02 8.714760e+03
8.517700e-02 6.327067e+03 6.423518e+02 7.273011e+03
9.517700e-02 5.605709e+03 5.006437e+02 5.950097e+03
1.051620e-01 4.995408e+03 4.015148e+02 4.907306e+03
1.151400e-01 4.030718e+03 3.337855e+02 4.170303e+03
1.251320e-01 3.842135e+03 2.927085e+02 3.642303e+03
1.351140e-01 3.417603e+03 2.445238e+02 3.235194e+03
1.451050e-01 2.852255e+03 2.176334e+02 2.889281e+03
1.551050e-01 2.664004e+03 1.810367e+02 2.581280e+03
1.650970e-01 2.165353e+03 1.599251e+02 2.281605e+03
1.750960e-01 2.038931e+03 1.493945e+02 1.996871e+03
1.850910e-01 1.648392e+03 1.312579e+02 1.756861e+03
1.950860e-01 1.512840e+03 1.213833e+02 1.560558e+03
#apara 	 aperp 	 fs8 	b1s8_NGC 	 b2s8_NGC 	 Anoise_NGC	sigmaP_SGC	b1s8_SGC 	 b2s8_SGC 	 Anoise_SGC	sigmaP_SGC	chi2 	 Npoints-Ndof
#1.025831	0.988277	0.433613	1.201632	-0.424062	1.211530	4.039220	1.201632	-0.424062	1.211530	4.039220	57.812050 	 68-11
