#k 	 Pdata 	 err 	 Pmodel
4.536800e-02 1.008459e+04 3.442054e+03 1.539556e+04
5.531400e-02 1.289474e+04 2.397204e+03 1.255567e+04
6.525800e-02 1.077088e+04 1.848165e+03 1.086318e+04
7.520900e-02 1.046722e+04 1.427121e+03 9.597945e+03
8.517500e-02 7.943098e+03 1.034219e+03 8.168892e+03
9.515700e-02 6.096322e+03 8.162805e+02 6.614356e+03
1.051620e-01 4.987119e+03 6.718356e+02 5.211775e+03
1.151480e-01 3.924083e+03 5.420027e+02 4.218527e+03
1.251460e-01 3.583704e+03 4.535195e+02 3.625776e+03
1.351460e-01 3.600298e+03 3.868590e+02 3.244644e+03
1.451320e-01 3.045877e+03 3.405732e+02 2.894851e+03
1.551140e-01 2.455916e+03 2.970613e+02 2.513357e+03
1.651020e-01 2.146458e+03 2.568253e+02 2.100498e+03
1.751050e-01 1.711936e+03 2.270777e+02 1.752228e+03
1.850970e-01 1.482776e+03 2.048604e+02 1.503462e+03
1.950850e-01 1.337605e+03 1.783345e+02 1.326529e+03
#apara 	 aperp 	 fs8 	b1s8_NGC 	 b2s8_NGC 	 Anoise_NGC	sigmaP_SGC	b1s8_SGC 	 b2s8_SGC 	 Anoise_SGC	sigmaP_SGC	chi2 	 Npoints-Ndof
#1.049934	0.953622	0.443161	1.198935	-0.414314	1.540286	5.042822	1.198935	-0.414314	1.540286	5.042822	46.524370 	 68-11
