#k 	 Pdata 	 err 	 Pmodel 	 Pnowiggle
2.564600e-02 4.605300e+04 1.905929e+03 4.541772e+04 4.381122e+04
3.546900e-02 3.459919e+04 1.042027e+03 3.506573e+04 3.615499e+04
4.537800e-02 2.801845e+04 6.606966e+02 2.748761e+04 2.922149e+04
5.528000e-02 2.326179e+04 4.791010e+02 2.315673e+04 2.395130e+04
6.523200e-02 2.064869e+04 3.566662e+02 2.042725e+04 2.000625e+04
7.522900e-02 1.777118e+04 2.693702e+02 1.786582e+04 1.698633e+04
8.519300e-02 1.490386e+04 2.146253e+02 1.500927e+04 1.453083e+04
9.516600e-02 1.232667e+04 1.651124e+02 1.239411e+04 1.257017e+04
1.051550e-01 1.044458e+04 1.343026e+02 1.049592e+04 1.097454e+04
1.151310e-01 9.290418e+03 1.154324e+02 9.354852e+03 9.657389e+03
1.251240e-01 8.610615e+03 9.424579e+01 8.610652e+03 8.555149e+03
1.351250e-01 7.964747e+03 8.724854e+01 7.876319e+03 7.622950e+03
1.451200e-01 7.025869e+03 7.419250e+01 7.031484e+03 6.840919e+03
1.551180e-01 6.242678e+03 6.466602e+01 6.177152e+03 6.173709e+03
1.651050e-01 5.396059e+03 5.804587e+01 5.472454e+03 5.596584e+03
1.750880e-01 4.987031e+03 5.337509e+01 4.984737e+03 5.102279e+03
1.850890e-01 4.680626e+03 4.815227e+01 4.645442e+03 4.672326e+03
1.950930e-01 4.338804e+03 4.364512e+01 4.354051e+03 4.300532e+03

#B	A1	A2	A3	BSGC	ASGC1	ASGC2	ASGC3	Sigmanl_para 	 Sigmanl_perp 	 beta 	 alpha_para 	 alpha_perp 	 chi2	 Npoints-dof
#4.627775e+00	2.891228e+03	-5.842707e+02	8.307210e+01	3.305792e+00	2.243623e+03	-1.493612e+03	4.691254e+02	4.300000e+00	 4.300000e+00	 1.702446e-03	 1.052117e+00	 1.014825e+00	 6.251815e+01	 72-17
