#k 	 Pdata 	 err 	 Pmodel 	 Pnowiggle
2.564600e-02 4.712097e+04 3.146132e+03 5.104141e+04 4.916311e+04
3.546900e-02 3.767801e+04 1.798466e+03 3.936904e+04 4.100210e+04
4.536800e-02 3.221584e+04 1.130281e+03 3.084546e+04 3.301137e+04
5.531400e-02 2.707070e+04 7.895195e+02 2.613411e+04 2.688626e+04
6.525800e-02 2.331709e+04 5.746752e+02 2.300472e+04 2.234335e+04
7.520900e-02 1.961062e+04 4.555268e+02 1.981590e+04 1.886375e+04
8.517500e-02 1.616413e+04 3.439291e+02 1.636245e+04 1.601102e+04
9.515700e-02 1.325075e+04 2.678954e+02 1.348121e+04 1.376267e+04
1.051620e-01 1.116217e+04 2.112183e+02 1.151202e+04 1.192952e+04
1.151480e-01 9.974826e+03 1.800903e+02 1.026581e+04 1.042804e+04
1.251460e-01 9.304071e+03 1.559694e+02 9.277286e+03 9.171951e+03
1.351460e-01 8.432055e+03 1.344518e+02 8.287238e+03 8.119463e+03
1.451320e-01 7.355395e+03 1.115548e+02 7.320189e+03 7.247016e+03
1.551140e-01 6.368868e+03 9.833871e+01 6.470414e+03 6.500724e+03
1.651020e-01 5.874497e+03 8.789074e+01 5.802773e+03 5.863320e+03
1.751050e-01 5.341548e+03 7.739142e+01 5.291097e+03 5.322765e+03
1.850970e-01 4.858845e+03 7.086372e+01 4.865448e+03 4.860154e+03
1.950850e-01 4.433377e+03 6.339446e+01 4.488965e+03 4.469436e+03

#B	A1	A2	A3	BSGC	ASGC1	ASGC2	ASGC3	Sigmanl_para 	 Sigmanl_perp 	 beta 	 alpha_para 	 alpha_perp 	 chi2	 Npoints-dof
#5.275701e+00	1.272065e+04	-4.373590e+03	2.418822e+02	7.480511e+00	1.284064e+04	-2.852707e+03	-4.831494e+02	1.385000e+01	 9.030000e+00	 3.095328e-01	 1.001900e+00	 1.002653e+00	 6.333752e+01	 72-17
