#k 	 Pdata 	 err 	 Pmodel 	 Pnowiggle
2.564600e-02 -3.539554e+03 3.747253e+03 -6.390563e+03 -6.514414e+03
3.546900e-02 -4.828809e+03 2.138581e+03 -4.286753e+03 -4.367221e+03
4.537800e-02 -2.929572e+03 1.389354e+03 -3.228643e+03 -3.203771e+03
5.528000e-02 -3.736216e+03 1.021824e+03 -2.611137e+03 -2.511156e+03
6.523200e-02 -2.629066e+03 7.435086e+02 -2.125542e+03 -2.045833e+03
7.522900e-02 -7.398935e+02 5.752496e+02 -1.690305e+03 -1.699833e+03
8.519300e-02 -1.750251e+03 4.423735e+02 -1.368860e+03 -1.447117e+03
9.516600e-02 -1.015177e+03 3.571042e+02 -1.191459e+03 -1.258963e+03
1.051550e-01 -1.424734e+03 2.864621e+02 -1.109355e+03 -1.108771e+03
1.151310e-01 -9.566879e+02 2.379100e+02 -1.050853e+03 -9.953607e+02
1.251240e-01 -1.110071e+03 2.072905e+02 -9.515663e+02 -8.994672e+02
1.351250e-01 -8.291560e+02 1.847082e+02 -8.290433e+02 -8.232569e+02
1.451200e-01 -9.894216e+02 1.576932e+02 -7.300450e+02 -7.646196e+02
1.551180e-01 -5.863437e+02 1.373050e+02 -6.763029e+02 -7.136744e+02
1.651050e-01 -5.861364e+02 1.152264e+02 -6.638728e+02 -6.738581e+02
1.750880e-01 -4.926730e+02 1.098447e+02 -6.593306e+02 -6.411561e+02
1.850890e-01 -6.195917e+02 9.784459e+01 -6.379583e+02 -6.127271e+02
1.950930e-01 -7.425233e+02 9.079194e+01 -6.039940e+02 -5.926572e+02

#B	A1	A2	A3	BSGC	ASGC1	ASGC2	ASGC3	Sigmanl_para 	 Sigmanl_perp 	 beta 	 alpha_para 	 alpha_perp 	 chi2	 Npoints-dof
#4.567732e+00	-3.221431e+03	8.397971e+02	-1.791801e+02	4.446660e+00	3.713222e+02	2.391033e+02	-2.031616e+02	4.300000e+00	 4.300000e+00	 9.101021e-03	 1.033363e+00	 1.014082e+00	 4.427732e+01	 72-17
