#k 	 Pdata 	 err 	 Pmodel 	 Pnowiggle
2.564600e-02 -3.023243e+03 6.325086e+03 5.250263e+02 8.583848e+02
3.546900e-02 1.734794e+03 3.815159e+03 -8.274076e+02 -6.520611e+02
4.536800e-02 1.104889e+03 2.368460e+03 -1.037801e+03 -1.160932e+03
5.531400e-02 -7.918535e+02 1.678381e+03 -9.585144e+02 -1.230170e+03
6.525800e-02 -2.528915e+02 1.303364e+03 -1.012926e+03 -1.149151e+03
7.520900e-02 -8.651201e+02 1.002909e+03 -1.167928e+03 -1.055366e+03
8.517500e-02 -1.466126e+03 7.208199e+02 -1.164940e+03 -9.570086e+02
9.515700e-02 -7.901642e+02 5.675477e+02 -9.317599e+02 -8.504713e+02
1.051620e-01 -1.006697e+03 4.437997e+02 -6.822480e+02 -7.793201e+02
1.151480e-01 -7.938045e+02 3.832416e+02 -5.825038e+02 -7.232908e+02
1.251460e-01 -3.382830e+02 3.156288e+02 -6.629501e+02 -7.058343e+02
1.351460e-01 -3.434512e+02 2.805437e+02 -7.716837e+02 -7.060292e+02
1.451320e-01 -7.808007e+02 2.448660e+02 -8.010816e+02 -7.176241e+02
1.551140e-01 -8.477953e+02 2.094551e+02 -7.817323e+02 -7.565856e+02
1.651020e-01 -7.458726e+02 1.810060e+02 -7.687824e+02 -8.019126e+02
1.751050e-01 -7.689813e+02 1.532352e+02 -8.118903e+02 -8.553965e+02
1.850970e-01 -8.536066e+02 1.451350e+02 -8.988458e+02 -9.151138e+02
1.950850e-01 -9.060959e+02 1.365361e+02 -9.825705e+02 -9.703727e+02

#B	A1	A2	A3	BSGC	ASGC1	ASGC2	ASGC3	Sigmanl_para 	 Sigmanl_perp 	 beta 	 alpha_para 	 alpha_perp 	 chi2	 Npoints-dof
#6.672604e+00	9.093650e+03	-5.972368e+03	8.615907e+01	5.206477e+00	1.629060e+04	-8.171406e+03	3.631952e+02	1.385000e+01	 9.030000e+00	 4.195894e-01	 9.942173e-01	 1.030563e+00	 4.534177e+01	 72-17
