#k 	 Pdata 	 err 	 Pmodel 	 Pnowiggle
2.564600e-02 5.960853e+04 2.424869e+03 5.981953e+04 5.801377e+04
3.546900e-02 4.578822e+04 1.389059e+03 4.618258e+04 4.765983e+04
4.537800e-02 3.733875e+04 9.051151e+02 3.649878e+04 3.852963e+04
5.528000e-02 3.224427e+04 6.355957e+02 3.092216e+04 3.168030e+04
6.523200e-02 2.720074e+04 4.684603e+02 2.715010e+04 2.656685e+04
7.522900e-02 2.364518e+04 3.565487e+02 2.353885e+04 2.263053e+04
8.519300e-02 1.947684e+04 2.798363e+02 1.980426e+04 1.943376e+04
9.516600e-02 1.675667e+04 2.217555e+02 1.664402e+04 1.688993e+04
1.051550e-01 1.424285e+04 1.755967e+02 1.439378e+04 1.480741e+04
1.151310e-01 1.283730e+04 1.460674e+02 1.290125e+04 1.308685e+04
1.251240e-01 1.170139e+04 1.270938e+02 1.173007e+04 1.164026e+04
1.351250e-01 1.073132e+04 1.128308e+02 1.059189e+04 1.041528e+04
1.451200e-01 9.558501e+03 9.682492e+01 9.475444e+03 9.383939e+03
1.551180e-01 8.545197e+03 8.630087e+01 8.471097e+03 8.494536e+03
1.651050e-01 7.659751e+03 7.501289e+01 7.654859e+03 7.723800e+03
1.750880e-01 6.926313e+03 6.897523e+01 7.015924e+03 7.059827e+03
1.850890e-01 6.585106e+03 6.099282e+01 6.477739e+03 6.476850e+03
1.950930e-01 5.993256e+03 5.447455e+01 5.993167e+03 5.968935e+03

#B	A1	A2	A3	BSGC	ASGC1	ASGC2	ASGC3	Sigmanl_para 	 Sigmanl_perp 	 beta 	 alpha_para 	 alpha_perp 	 chi2	 Npoints-dof
#3.779916e+00	-1.953998e+03	6.595595e+02	2.120257e+02	3.417095e+00	3.756785e+03	-1.176463e+03	4.171755e+02	1.218000e+01	 7.310000e+00	 6.073711e-01	 9.969805e-01	 1.016165e+00	 5.273475e+01	 72-17
