#k 	 Pdata 	 err 	 Pmodel 	 Pnowiggle
2.564600e-02 5.892642e+04 4.006282e+03 6.225868e+04 6.022477e+04
3.546900e-02 4.740207e+04 2.280966e+03 4.919823e+04 5.174721e+04
4.536800e-02 4.179332e+04 1.482969e+03 3.960735e+04 4.232446e+04
5.531400e-02 3.411550e+04 1.022854e+03 3.432453e+04 3.491885e+04
6.525800e-02 2.983577e+04 7.714873e+02 3.035122e+04 2.933961e+04
7.520900e-02 2.558400e+04 5.991539e+02 2.596897e+04 2.492439e+04
8.517500e-02 2.171429e+04 4.423736e+02 2.155573e+04 2.133311e+04
9.515700e-02 1.813632e+04 3.505891e+02 1.808284e+04 1.846706e+04
1.051620e-01 1.552297e+04 2.813171e+02 1.572518e+04 1.612425e+04
1.151480e-01 1.393934e+04 2.421615e+02 1.408919e+04 1.419336e+04
1.251460e-01 1.262846e+04 1.973180e+02 1.270357e+04 1.258278e+04
1.351460e-01 1.154105e+04 1.715754e+02 1.138324e+04 1.123824e+04
1.451320e-01 1.003744e+04 1.457970e+02 1.016131e+04 1.010663e+04
1.551140e-01 9.035317e+03 1.275089e+02 9.116130e+03 9.143306e+03
1.651020e-01 8.299138e+03 1.191531e+02 8.270229e+03 8.318973e+03
1.751050e-01 7.580029e+03 1.031396e+02 7.587146e+03 7.613881e+03
1.850970e-01 7.049185e+03 8.943816e+01 7.008451e+03 7.006884e+03
1.950850e-01 6.438722e+03 8.345461e+01 6.494383e+03 6.480071e+03

#B	A1	A2	A3	BSGC	ASGC1	ASGC2	ASGC3	Sigmanl_para 	 Sigmanl_perp 	 beta 	 alpha_para 	 alpha_perp 	 chi2	 Npoints-dof
#4.934202e+00	-7.711582e+02	1.411234e+03	-1.439081e+02	6.426350e+00	3.977270e+03	2.088959e+03	-8.127534e+02	1.385000e+01	 9.030000e+00	 6.338322e-01	 8.878103e-01	 1.036790e+00	 6.419593e+01	 72-17
