#k 	 Pdata 	 err 	 Pmodel 	 Pnowiggle
2.564600e-02 7.888539e+03 5.834693e+03 2.034002e+04 1.878962e+04
3.546900e-02 1.698762e+04 3.261405e+03 1.720359e+04 1.732656e+04
4.537800e-02 1.633673e+04 2.071864e+03 1.373513e+04 1.465431e+04
5.528000e-02 1.249179e+04 1.482101e+03 1.136539e+04 1.217626e+04
6.523200e-02 1.013173e+04 1.109735e+03 9.968535e+03 1.020380e+04
7.522900e-02 8.186355e+03 8.588790e+02 8.960289e+03 8.684896e+03
8.519300e-02 7.915986e+03 6.581388e+02 7.839048e+03 7.418474e+03
9.516600e-02 6.313877e+03 5.070864e+02 6.569632e+03 6.328376e+03
1.051550e-01 5.406947e+03 4.090351e+02 5.416951e+03 5.446774e+03
1.151310e-01 4.096529e+03 3.456156e+02 4.512911e+03 4.695447e+03
1.251240e-01 3.790944e+03 2.937246e+02 3.896299e+03 4.057395e+03
1.351250e-01 3.281065e+03 2.490825e+02 3.457637e+03 3.501921e+03
1.451200e-01 3.106143e+03 2.252544e+02 3.071887e+03 3.015911e+03
1.551180e-01 2.646686e+03 1.897760e+02 2.686246e+03 2.604250e+03
1.651050e-01 2.310335e+03 1.691920e+02 2.283543e+03 2.237039e+03
1.750880e-01 2.078188e+03 1.464535e+02 1.903343e+03 1.907238e+03
1.850890e-01 1.513857e+03 1.335446e+02 1.586091e+03 1.618070e+03
1.950930e-01 1.208967e+03 1.228995e+02 1.325871e+03 1.354821e+03

#B	A1	A2	A3	BSGC	ASGC1	ASGC2	ASGC3	Sigmanl_para 	 Sigmanl_perp 	 beta 	 alpha_para 	 alpha_perp 	 chi2	 Npoints-dof
#3.803597e+00	-3.182403e+03	-3.308670e+02	-5.654677e+00	4.740791e+00	-7.623148e+03	1.236957e+03	-3.265014e+02	1.218000e+01	 7.310000e+00	 4.039504e-01	 1.083210e+00	 1.001225e+00	 6.934058e+01	 72-17
