#k 	 Pdata 	 err 	 Pmodel 	 Pnowiggle
2.564600e-02 9.921873e+03 9.122079e+03 1.886880e+04 1.720791e+04
3.546900e-02 1.083571e+04 5.464229e+03 1.587524e+04 1.503045e+04
4.536800e-02 1.350979e+04 3.446586e+03 1.239958e+04 1.268785e+04
5.531400e-02 8.568270e+03 2.382770e+03 9.479984e+03 1.047115e+04
6.525800e-02 7.402074e+03 1.837897e+03 7.904307e+03 8.732477e+03
7.520900e-02 6.665525e+03 1.410352e+03 7.359920e+03 7.454137e+03
8.517500e-02 6.451100e+03 1.040858e+03 6.964173e+03 6.447981e+03
9.515700e-02 6.114370e+03 8.056691e+02 6.073569e+03 5.510060e+03
1.051620e-01 5.906101e+03 6.604807e+02 4.950005e+03 4.774391e+03
1.151480e-01 4.237113e+03 5.427923e+02 3.936702e+03 4.144804e+03
1.251460e-01 3.712281e+03 4.649472e+02 3.314588e+03 3.613528e+03
1.351460e-01 2.780424e+03 3.959948e+02 3.006553e+03 3.145764e+03
1.451320e-01 2.702444e+03 3.414293e+02 2.780436e+03 2.727254e+03
1.551140e-01 2.100364e+03 2.990216e+02 2.508431e+03 2.382407e+03
1.651020e-01 2.096398e+03 2.554929e+02 2.155555e+03 2.075451e+03
1.751050e-01 1.744857e+03 2.249544e+02 1.792729e+03 1.791939e+03
1.850970e-01 1.515488e+03 2.033879e+02 1.502260e+03 1.544155e+03
1.950850e-01 1.281392e+03 1.813911e+02 1.288321e+03 1.324550e+03

#B	A1	A2	A3	BSGC	ASGC1	ASGC2	ASGC3	Sigmanl_para 	 Sigmanl_perp 	 beta 	 alpha_para 	 alpha_perp 	 chi2	 Npoints-dof
#6.897240e+00	8.274938e+03	-3.555086e+03	3.132487e+02	6.941722e+00	-1.717172e+04	1.927471e+03	1.946879e+02	1.385000e+01	 9.030000e+00	 8.346441e-02	 1.130377e+00	 9.835725e-01	 4.370385e+01	 72-17
