#k 	 Pdata 	 err 	 Pmodel
2.564600e-02 6.003262e+04 2.545024e+03 5.870249e+04
3.546900e-02 4.653043e+04 1.402254e+03 4.604022e+04
4.537800e-02 3.776849e+04 8.959835e+02 3.674557e+04
5.528000e-02 3.099166e+04 6.492799e+02 3.146785e+04
6.523200e-02 2.776507e+04 4.743030e+02 2.778045e+04
7.522900e-02 2.404227e+04 3.536445e+02 2.390714e+04
8.519300e-02 1.995495e+04 2.808882e+02 1.995386e+04
9.516600e-02 1.666841e+04 2.212556e+02 1.669565e+04
1.051550e-01 1.460526e+04 1.732168e+02 1.450075e+04
1.151310e-01 1.304106e+04 1.462162e+02 1.311968e+04
1.251240e-01 1.201848e+04 1.256686e+02 1.198408e+04
1.351250e-01 1.067807e+04 1.154657e+02 1.081897e+04
1.451200e-01 9.649246e+03 9.419011e+01 9.663365e+03
1.551180e-01 8.703266e+03 8.525861e+01 8.627766e+03
1.651050e-01 7.879904e+03 7.613823e+01 7.815325e+03
1.750880e-01 7.147413e+03 6.951616e+01 7.176084e+03
1.850890e-01 6.628929e+03 6.273365e+01 6.615922e+03
1.950930e-01 6.125492e+03 5.500268e+01 6.109139e+03
#apara 	 aperp 	 fs8 	b1s8_NGC 	 b2s8_NGC 	 Anoise_NGC	sigmaP_SGC	b1s8_SGC 	 b2s8_SGC 	 Anoise_SGC	sigmaP_SGC	chi2 	 Npoints-Ndof
#0.951090	0.997117	0.530121	1.155222	1.283724	0.850481	3.933059	1.155222	1.283724	0.850481	3.933059	43.769410 	 72-11
