#k 	 Pdata 	 err 	 Pmodel
2.564600e-02 6.208574e+04 3.941315e+03 6.091611e+04
3.546900e-02 4.612992e+04 2.332223e+03 4.897356e+04
4.536800e-02 3.898274e+04 1.472100e+03 3.948465e+04
5.531400e-02 3.487936e+04 1.019281e+03 3.366244e+04
6.525800e-02 3.016766e+04 7.510858e+02 2.968509e+04
7.520900e-02 2.644258e+04 5.977086e+02 2.581451e+04
8.517500e-02 2.168127e+04 4.420094e+02 2.178299e+04
9.515700e-02 1.790825e+04 3.528053e+02 1.824071e+04
1.051620e-01 1.587179e+04 2.743676e+02 1.566265e+04
1.151480e-01 1.384081e+04 2.399903e+02 1.398241e+04
1.251460e-01 1.252913e+04 1.933166e+02 1.271399e+04
1.351460e-01 1.152958e+04 1.725968e+02 1.151032e+04
1.451320e-01 1.034469e+04 1.416208e+02 1.031010e+04
1.551140e-01 9.045382e+03 1.252944e+02 9.191949e+03
1.651020e-01 8.328250e+03 1.169454e+02 8.285859e+03
1.751050e-01 7.760441e+03 1.025878e+02 7.592086e+03
1.850970e-01 6.936914e+03 8.678640e+01 7.012424e+03
1.950850e-01 6.505686e+03 8.042484e+01 6.509640e+03
#apara 	 aperp 	 fs8 	b1s8_NGC 	 b2s8_NGC 	 Anoise_NGC	sigmaP_SGC	b1s8_SGC 	 b2s8_SGC 	 Anoise_SGC	sigmaP_SGC	chi2 	 Npoints-Ndof
#1.014370	1.010877	0.504107	1.190597	-1.619019	2.411170	5.703901	1.190597	-1.619019	2.411170	5.703901	60.999220 	 72-11
