#k 	 Pdata 	 err 	 Pmodel
2.564600e-02 2.676877e+04 5.728861e+03 2.655625e+04
3.546900e-02 2.163781e+04 3.203750e+03 2.105942e+04
4.537800e-02 1.439203e+04 2.088008e+03 1.653800e+04
5.528000e-02 1.175277e+04 1.488664e+03 1.380523e+04
6.523200e-02 1.180961e+04 1.105007e+03 1.195782e+04
7.522900e-02 9.499795e+03 8.147362e+02 1.020459e+04
8.519300e-02 8.536209e+03 6.423518e+02 8.410326e+03
9.516600e-02 6.339209e+03 5.006437e+02 6.834986e+03
1.051550e-01 5.333442e+03 4.015148e+02 5.624123e+03
1.151310e-01 4.628230e+03 3.337855e+02 4.748779e+03
1.251240e-01 4.379009e+03 2.927085e+02 4.086995e+03
1.351250e-01 3.656744e+03 2.445238e+02 3.562636e+03
1.451200e-01 2.942197e+03 2.176334e+02 3.114448e+03
1.551180e-01 2.769521e+03 1.810367e+02 2.721708e+03
1.651050e-01 2.375899e+03 1.599251e+02 2.343865e+03
1.750880e-01 1.891541e+03 1.493945e+02 1.970917e+03
1.850890e-01 1.716363e+03 1.312579e+02 1.652640e+03
1.950930e-01 1.309751e+03 1.213833e+02 1.392938e+03
#apara 	 aperp 	 fs8 	b1s8_NGC 	 b2s8_NGC 	 Anoise_NGC	sigmaP_SGC	b1s8_SGC 	 b2s8_SGC 	 Anoise_SGC	sigmaP_SGC	chi2 	 Npoints-Ndof
#1.013247	0.979759	0.505330	1.137347	-0.550518	1.402063	4.661686	1.137347	-0.550518	1.402063	4.661686	46.957950 	 72-11
