#k 	 Pdata 	 err 	 Pmodel
2.564600e-02 2.079103e+04 9.002477e+03 2.494902e+04
3.546900e-02 1.879870e+04 5.550014e+03 1.965678e+04
4.536800e-02 1.630675e+04 3.442054e+03 1.568278e+04
5.531400e-02 1.382881e+04 2.397204e+03 1.327270e+04
6.525800e-02 1.456935e+04 1.848165e+03 1.132181e+04
7.520900e-02 9.295472e+03 1.427121e+03 9.280398e+03
8.517500e-02 7.152123e+03 1.034219e+03 7.458008e+03
9.515700e-02 5.275882e+03 8.162805e+02 6.141782e+03
1.051620e-01 4.204804e+03 6.718356e+02 5.242195e+03
1.151480e-01 4.633091e+03 5.420027e+02 4.503110e+03
1.251460e-01 3.729489e+03 4.535195e+02 3.809112e+03
1.351460e-01 3.234924e+03 3.868590e+02 3.214617e+03
1.451320e-01 3.360741e+03 3.405732e+02 2.776386e+03
1.551140e-01 2.367908e+03 2.970613e+02 2.453103e+03
1.651020e-01 2.014914e+03 2.568253e+02 2.147521e+03
1.751050e-01 1.940735e+03 2.270777e+02 1.799444e+03
1.850970e-01 1.337253e+03 2.048604e+02 1.498788e+03
1.950850e-01 1.138397e+03 1.783345e+02 1.255479e+03
#apara 	 aperp 	 fs8 	b1s8_NGC 	 b2s8_NGC 	 Anoise_NGC	sigmaP_SGC	b1s8_SGC 	 b2s8_SGC 	 Anoise_SGC	sigmaP_SGC	chi2 	 Npoints-Ndof
#0.962348	0.983409	0.493562	1.187772	0.664064	0.908899	3.752880	1.187772	0.664064	0.908899	3.752880	53.896850 	 72-11
